aligned_date,headline,text,section,url
2013-11-01,Where Paella Meets Plantains,"La Parrilla has a Spanish accent that encompasses both the Old World and the New. This Port Jefferson newcomer, which opened in late March, took over the building that housed the Spanish restaurant Costa de España for many years. The owner of La Parrilla, Vin Grillo, a first-time restaurateur, said his menu was a combination of Spanish and Latin American food.",New York,https://www.nytimes.com/2013/11/03/nyregion/a-review-of-la-parrilla-in-port-jefferson.html
2013-11-01,The Kids Are Not Happy About Dad’s New Friend,"Psychological verisimilitude: If that were all it took to make a powerful movie about family strife and impending mortality, the German filmmaker Sandra Nettelbeck’s “Last Love” would join Michael Haneke’s “Amour” on the short list of touching late-life dramas. ",Movies,https://www.nytimes.com/2013/11/01/movies/last-love-stars-michael-caine.html
2013-11-01,"Outdistancing Suicide, Papa’s Family Curse","The up-close-and-personal promise of cinéma vérité in the 1960s could be exploited in a number of ways. Some documentaries explored ordinary life as a subject (“Salesman,” “High School”), but just as often they orbited stars (Bob Dylan in “Don’t Look Back,” John F. Kennedy in “Primary”). The career of the award-winning filmmaker Barbara Kopple has intriguingly spanned this spectrum, as she has both risked her life to chronicle a miners strike in the 1976 stone-cold classic, “Harlan County, U.S.A.,” and watched Woody Allen quip about hotel laundry service in “Wild Man Blues” (1998).",Movies,https://www.nytimes.com/2013/11/01/movies/mariel-hemingway-pursues-health-in-running-from-crazy.html
2013-11-01,Federal Review Opened in Georgia Death,ATLANTA — The United States Department of Justice said Thursday that it had opened a formal review of the death of a 17-year-old boy found in a rolled-up wrestling mat at his Georgia high school in January.,U.S.,https://www.nytimes.com/2013/11/01/us/federal-review-opened-in-georgia-death.html
2013-11-01,A War on the Poor,"John Kasich, the Republican governor of Ohio, has done some surprising things lately. First, he did an end run around his state’s Legislature — controlled by his own party — to proceed with the federally funded expansion of Medicaid that is an important piece of Obamacare. Then, defending his action, he let loose on his political allies, declaring, “I’m concerned about the fact there seems to be a war on the poor. That, if you’re poor, somehow you’re shiftless and lazy.”",Opinion,https://www.nytimes.com/2013/11/01/opinion/krugman-a-war-on-the-poor.html
2013-11-01,Judge Invalidates Patent for a Down Syndrome Test,A federal judge has invalidated the central patent underlying a noninvasive method of detecting Down syndrome in fetuses without the risk of inducing a miscarriage.,Business Day,https://www.nytimes.com/2013/11/01/business/judge-invalidates-patent-for-a-down-syndrome-test.html
2013-11-01,Rethinking the Main Course,"Some animated films, like “My Neighbor Totoro,” seem nonsensical because they replicate the strange logic of a child’s imagination. Others make little sense because the concept is inane, and the execution is manic and unoriginal. “Free Birds,” the new cartoon about time-traveling turkeys, is the second kind. ",Movies,https://www.nytimes.com/2013/11/01/movies/free-birds-with-voices-of-woody-harrelson-and-owen-wilson.html
2013-11-01,The Ode Heard Round the World,"With the release last spring of a phenomenally popular iPad app, an exhibition at the Morgan Library & Museum of the original manuscript, and now the documentary “Following the Ninth: In the Footsteps of Beethoven’s Final Symphony,” the Ninth seems to be having a cultural moment. Of course, that’s not quite right: Since its premiere in 1824, it has never truly left the spotlight. ",Movies,https://www.nytimes.com/2013/11/01/movies/following-the-ninth-explores-beethovens-legacy.html
2013-11-01,Events in Westchester,A guide to cultural and recreational events in the Hudson Valley. Items for the calendar should be sent at least three weeks in advance to westweek@nytimes.com.,New York,https://www.nytimes.com/2013/11/03/nyregion/events-in-westchester.html
2013-11-01,Being ‘Partly Jewish’,"IN the course of a year, my family celebrates Yom Kippur, Rosh Hashana, Sukkot, Simhat Torah, Hanukkah, Passover and many Shabbats. We also celebrate All Saints’ Day and All Souls, Advent, Christmas, Lent and Easter. We are part of a growing movement to raise interfaith children with both family religions.",Opinion,https://www.nytimes.com/2013/11/01/opinion/being-partly-jewish.html
2013-11-01,Serious Danger of Blood Clots Halts Sale of Leukemia Drug,"Sales of a promising leukemia drug, Iclusig, are being suspended because of “the risk of life-threatening blood clots and severe narrowing of blood vessels,” the Food and Drug Administration said on Thursday. ",Business Day,https://www.nytimes.com/2013/11/01/business/serious-danger-of-blood-clots-halts-sale-of-leukemia-drug.html
2013-11-01,Events in Connecticut,A guide to cultural and recreational events in Connecticut. Items for the calendar should be sent at least three weeks in advance to ctcal@nytimes.com.,New York,https://www.nytimes.com/2013/11/03/nyregion/events-in-connecticut.html
2013-11-01,"In Alabama Race, a Test of Business Efforts to Derail Tea Party","MOBILE, Ala. — With only days to go before a special Republican primary runoff for Congress here in South Alabama, the national business lobby is going all in. ",U.S.,https://www.nytimes.com/2013/11/01/us/politics/in-alabama-race-a-test-of-business-efforts-to-derail-tea-party.html
2013-11-01,"No Lights or Cameras, but Draft Has Action","When the N.B.A.’s Development League stages its annual draft Friday night, the event might be most notable for everything that it is not.",Sports,https://www.nytimes.com/2013/11/01/sports/basketball/draft-day-minus-the-lights-and-cameras.html
2013-11-01,Events on Long Island,A guide to cultural and recreational events on Long Island. Items for the calendar should be sent at least three weeks in advance to lical@nytimes.com.,New York,https://www.nytimes.com/2013/11/03/nyregion/events-on-long-island.html
2013-11-01,"Welcomed With Kisses, Stanford Freshmen Risk the ‘Kissing Disease’","STANFORD, Calif. — It is minutes to midnight. A sultry full moon hangs over Stanford’s Memorial Church, bathing the campus’s red roofs and adobe-toned walls.",Education,https://www.nytimes.com/2013/11/01/education/welcomed-with-kisses-stanford-freshmen-risk-the-kissing-disease.html
2013-11-01,Events in New Jersey,A guide to cultural and recreational events in New Jersey. Items for the calendar should be sent at least three weeks in advance to njtowns@nytimes.com.,New York,https://www.nytimes.com/2013/11/03/nyregion/events-in-new-jersey.html
2013-11-01,Neighborhood Joint: Singularity & Co.,The vintage science fiction bookstore Singularity & Co. operates from a small storefront in Brooklyn.,New York,https://www.nytimes.com/slideshow/2013/11/03/nyregion/20131103JOINTss.html
