aligned_date,headline,text,section,url
2020-11-02,Celebrities lend Biden a hand in turning out the vote in Philadelphia.,PHILADELPHIA — Add Debra Messing and Kathy Najimy to the thousands of canvassers spread out across Philadelphia for the Biden campaign on Saturday.,U.S.,https://www.nytimes.com/2020/10/31/us/elections/celebrities-lend-biden-a-hand-in-turning-out-the-vote-in-philadelphia.html
2020-11-02,The Battlegrounds Within Battlegrounds,Here are 20 counties in battleground states that are crucial for a White House victory.,U.S.,https://www.nytimes.com/interactive/2020/us/politics/battleground-state-polls.html
2020-11-02,"‘They’re coming after our state,’ McSally warns Arizona Republicans.","SUN CITY, Ariz. — Don’t believe the polls. Don’t believe the media. And definitely do not believe the Democrats.",U.S.,https://www.nytimes.com/2020/10/31/us/elections/theyre-coming-after-our-state-mcsally-warns-arizona-republicans.html
2020-11-02,Kids’ Graphic Novels That Turn the Superhero Genre on Its Head,"When I was a kid, my local comic shop was in a strip mall about 10 minutes away from my home. It was one of my favorite places in the world. For 60 cents, I could buy a comic book — a ticket to a universe populated by modern-day gods.",Books,https://www.nytimes.com/2020/10/31/books/review/mister-invincible-pascal-jousselin.html
2020-11-02,Got Worries? Make Newspaper Dolls to Catch Them,"There’s a lot to worry about these days. With Covid-19 cases rising, the new darkness of standard time and the election taking place in a few days, everyone could use an extra outlet to release some anxiety. It’s the perfect week to turn your newspaper into a handful of worry dolls.",At Home,https://www.nytimes.com/2020/10/31/at-home/activity-worry-dolls.html
2020-11-02,Learn the Etiquette of Virtual Weddings,"With weddings this year being delayed, downsized or split into two — video ceremony now, party next year — many guests have some only-in-2020 etiquette questions. Should you dress up? Send a present — or two? Read on for answers to all your pandemic wedding quandaries.",At Home,https://www.nytimes.com/2020/10/31/at-home/virtual-weddings-etiquette.html
2020-11-02,Listen to the Globe,"Americans may not be able to travel the world because of the pandemic, but thousands of foreign radio stations are easily accessible online to bring the world to you.",At Home,https://www.nytimes.com/2020/10/31/at-home/global-radio-stations.html
2020-11-02,Tap LinkedIn for Career Opportunities,"Arguably the least fun social media platform, LinkedIn used to be the online equivalent of a professional networking event — a stodgy affair that no one really wanted to hang around. But, for the foreseeable future, the pandemic has all but eradicated most other methods of sniffing out career opportunities. Now that grabbing drinks with former colleagues or hobnobbing at work conferences is off the table, LinkedIn has been promoted from obligatory to essential.",At Home,https://www.nytimes.com/2020/10/31/at-home/linkedin-career-opportunities.html
2020-11-02,Sean Connery: From Tentative Secret Agent to Suave Bond,"In 1965, at the height of James Bond mania, Sean Connery told Playboy magazine that he had no problem with another actor assuming his signature role. “Actually, I’d find it interesting to see what someone else does with it,” he said. “Lots of people could play him.”",Movies,https://www.nytimes.com/2020/10/31/movies/sean-connery-james-bond.html
2020-11-02,Don’t Give In to ‘Election Stress Disorder’,"From the droves of people voting by mail to the widespread protests for racial justice to the pandemic and worries about the electoral process itself, the 2020 election cycle provides “a recipe for a lot of angst” on Election Day, according to Alvin Bernard Tillery Jr., a professor of political science at Northwestern University.",At Home,https://www.nytimes.com/2020/10/31/at-home/election-stress.html
2020-11-02,"Corrections: Nov. 1, 2020","An interview on Sept. 27 about Ilhan Omar, the Democratic congresswoman from Minnesota, referred incorrectly to her family’s arrival in the United States in 1995. They came to the United States as refugees. They were not granted asylum status.",Corrections,https://www.nytimes.com/2020/10/31/pageoneplus/corrections-nov-1-2020.html
2020-11-02,Quotation of the Day: Tracing Now All but Impossible as Outbreaks Tear Through U.S.,“You can swing a cat and hit someone who has got it.”,Today’s Paper,https://www.nytimes.com/2020/10/31/todayspaper/quotation-of-the-day-tracing-now-all-but-impossible-as-outbreaks-tear-through-us.html
2020-11-02,"This Election Week, Revisit the Constitution, Then Soothe Your Stressed Mind",Here is a sampling of the week’s events and how to tune in (all times are Eastern). Note that events are subject to change after publication.,At Home,https://www.nytimes.com/2020/10/31/at-home/things-to-do-this-week.html
