date,headline,abstract,lead_paragraph,section,url
2020-02-01,Brexit Has Arrived. But Boris Johnson’s Reign Is Just Beginning.,"With his signature campaign promise fulfilled, the prime minister can now reshape Britain for a generation.",LONDON — The moment has arrived. Britain is out of the European Union. Prime Minister Boris Johnson and his “People’s Government” — it scarcely calls itself Conservative at this point — has fulfilled the promise on which it was elected in December and “got Brexit done.”,Opinion,https://www.nytimes.com/2020/01/31/opinion/brexit.html
2020-02-01,Plans for Alabama’s Deadly Prisons ‘Won’t Fix the Horrors’,"A panel appointed by the governor acknowledged that its recommendations could not fully address what the Justice Department has called “severe, systemic” conditions.","WASHINGTON — After months of promising to fix Alabama’s dangerously violent prison system, a panel appointed by the governor issued recommendations this week that would do little to address the underlying problems identified last year in a scathing Justice Department report, which documented prisoners being routinely assaulted and tortured, sometimes with the knowledge and even participation of prison guards.",U.S.,https://www.nytimes.com/2020/01/31/us/politics/alabama-prisons.html
2020-02-01,Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016,"In a podcast interview on Friday, Mrs. Clinton also described the caucuses in Iowa, where Mr. Sanders leads in some polls, as “undemocratic.”","DES MOINES — Hillary Clinton said on Friday in a podcast interview that Senator Bernie Sanders and his supporters did not do enough to unify the Democratic Party after the prolonged 2016 primary, calling the behavior of his supporters “distressing” and saying it affected the general election.",U.S.,https://www.nytimes.com/2020/01/31/us/politics/hillary-clinton-bernie-sanders.html
2020-02-01,Full Video: Senators Debate Impeachment Trial Amendments,Senators will vote on procedural motions in President Trump’s impeachment trial.,Senators will vote on procedural motions in President Trump’s impeachment trial.,U.S.,https://www.nytimes.com/video/us/politics/100000006954580/watch-live-impeachment-trial.html
2020-02-01,Giuliani Sought Help for Client in Meeting With Ukrainian Official,"As he discussed the possibility of a White House meeting for Ukraine’s president, President Trump’s lawyer asked to save the Kyiv mayor’s job.","KYIV, Ukraine — When Rudolph W. Giuliani met with a top aide to Ukraine’s president last summer, he discussed the prospect of a coveted White House meeting for the president while seeking Ukraine’s commitment to certain investigations that could benefit President Trump politically.",World,https://www.nytimes.com/2020/01/31/world/europe/giuliani-ukraine-klitschko-trump.html
2020-02-01,Requiem for a Dream,"Britain exits Europe. It will be poorer, above all in its shriveled heart.","I have covered many stories that marked me over the past 40 years, in war zones and outside them, but none that has affected me as personally as Britain’s exit from the European Union. Brexit Day, now upon us, feels like the end of hope, a moral collapse, a self-amputation that will make the country where I grew up poorer in every sense.",Opinion,https://www.nytimes.com/2020/01/31/opinion/brexit-uk.html
2020-02-01,Former Coast Guard Officer Accused of Plotting Terrorism Is Sentenced to 13 Years,"Christopher Paul Hasson, a self-described white nationalist, plotted to kill journalists, Democratic politicians, Supreme Court justices and those he described as “leftists in general,” prosecutors said.",A former Coast Guard lieutenant who described himself as a white nationalist was sentenced Friday to more than 13 years in prison after pleading guilty last year to federal gun and drug charges.,U.S.,https://www.nytimes.com/2020/01/31/us/christopher-hasson-coast-guard-terrorism.html
2020-02-01,"Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.","Several Senate Republicans said that even if President Trump did everything impeachment managers said, he should not be removed.","The Senate voted on Friday nearly along party lines to block additional witnesses and evidence in President Trump’s impeachment trial, effectively accelerating the proceedings toward a final vote, which is expected to be held Wednesday.",U.S.,https://www.nytimes.com/2020/01/31/us/politics/republican-response-impeachment.html
2020-02-01,The Impeachment Trial Nears a Finale,Readers react as the Republicans vote to block witnesses in President Trump’s impeachment trial.,To the Editor:,Opinion,https://www.nytimes.com/2020/01/31/opinion/letters/senate-trump-trial.html
2020-02-01,Diplomat at Center of Trump Impeachment Retires From State Department,"On a July 25 telephone call with the president of Ukraine, President Trump described Ambassador Yovanovitch as “bad news” and said, ominously, “She’s going to go through some things.”","WASHINGTON — The American ambassador whose abrupt recall from Ukraine helped lead to President Trump’s impeachment has retired from the State Department, a person familiar with her plans confirmed on Friday.",U.S.,https://www.nytimes.com/2020/01/31/us/politics/ambassador-ukraine-impeachment-retires.html
