date,headline,abstract,lead_paragraph,section,url
2021-09-01,Biden Defends Afghan Pullout and Declares an End to Nation-Building,"The president offered a glimpse of a different American foreign policy in the post-9/11 world, one that he said would be guided more by competition with China and Russia.","WASHINGTON — President Biden on Tuesday forcefully rejected criticism of his decision to end America’s 20-year war in Afghanistan, hailing what he called the “extraordinary success” of the evacuation of Kabul and declaring the end of an era in which the United States uses military power “to remake other countries.”",U.S.,https://www.nytimes.com/2021/08/31/us/politics/biden-defends-afghanistan-withdrawal.html
2021-09-01,An Afghan Left Behind Tells His Story,Rasheed worked with the U.S. in Afghanistan. Now he is facing threats from the Taliban.,This article will also appear in the Opinion Today newsletter. You can sign up here to receive it in your inbox each weekday morning.,Opinion,https://www.nytimes.com/2021/08/31/opinion/Afghanistan-taliban-escape.html
2021-09-01,What Is Stefanos Tsitsipas Doing in the Bathroom During His Matches?,Andy Murray says his Monday opponent employs stall tactics too often. Reilly Opelka says Tsitsipas is probably changing his socks.,"It wasn’t his opponent’s dazzling foot speed or the velocity of his serve that Andy Murray was still dwelling on a day after his match. The statistic that stuck with Murray, the 2012 U.S. Open champion, was how long his opponent, Stefanos Tsitsipas, took during his off-court breaks.",Sports,https://www.nytimes.com/2021/08/31/sports/tennis/us-open-stefanos-tsitsipas-bathroom-andy-murray.html
2021-09-01,Goalball Teammates Set Paralympic Record for Longevity,"Asya Miller and Lisa Czechowski, who have won three Paralympic medals as teammates, first competed together at the Sydney Games in 2000.","TOKYO — Asya Miller and Lisa Czechowski can’t quite remember when they met, probably because it happened half a lifetime ago. In separate interviews this summer, one guessed that they met at a regional track and field meet. The other thought it happened at a goalball tournament.",Sports,https://www.nytimes.com/2021/08/31/sports/olympics/tokyo-paralympics-goalball.html
2021-09-01,Developer Charged in Scheme to Bilk Matt Gaetz’s Family,The Justice Department arrested the man for seeking $25 million for a presidential pardon that would have purportedly ended a sex trafficking investigation into Mr. Gaetz.,A Florida real estate developer was arrested on Tuesday by the Justice Department for his role in a scheme to bilk $25 million from the family of Representative Matt Gaetz in exchange for a purported presidential pardon that would have ended a sex trafficking investigation into Mr. Gaetz.,U.S.,https://www.nytimes.com/2021/09/01/us/politics/matt-gaetz-stephen-alford.html
2021-09-01,Black Surfers Refuse to Be Excluded: ‘I Have a Right to Be on This Wave’,A new generation of surfers and activists are building on the efforts and achievements of those who came before — and carving out a space for themselves.,A new generation of surfers and activists are building on the efforts and achievements of those who came before — and carving out a space for themselves.,Sports,https://www.nytimes.com/interactive/2021/08/31/sports/black-surfers.html
2021-09-01,Biden Plays the Long Game as He Justifies the End of the ‘Forever War’,"President Biden is banking on the assumption that he will be remembered for finally extricating the country from the war in Afghanistan, not for how he did it.","The forever war is over, but the forever debate may be only beginning. As he presided over the end of a lost 20-year mission in Afghanistan, President Biden on Tuesday touched off a prolonged argument for history over his decision to get out, how he handled it and what it means for the future of America.",U.S.,https://www.nytimes.com/2021/08/31/us/politics/biden-politics-afghanistan.html
2021-09-01,Wowza!,Sean Yamada-Hunter’s debut is a hypothetical masterpiece.,"WEDNESDAY PUZZLE — Administrivial alert: In an earlier version of this puzzle, the clue at 35-Across read “This, in Spanish” for the answer ESO. The word ESO means “that.” The clue has been corrected online.",Crosswords & Games,https://www.nytimes.com/2021/09/01/crosswords/daily-puzzle-2021-09-01.html
2021-09-01,"Corrections: Sept. 01, 2021","Corrections that appeared in print on Wednesday, Sept. 1, 2021.","An article on Tuesday about college students stranded in Afghanistan misstated comments by the president of the American University of Afghanistan about attempts to evacuate students. He said that the university had shared the students’ names with the U.S. military, and that the military’s protocol was to share that information with the Taliban to coordinate access to the airport. He did not say the U.S. military had shared with the Taliban a list of students trying to leave Afghanistan.",Corrections,https://www.nytimes.com/2021/09/01/pageoneplus/corrections-sept-01-2021.html
2021-09-01,Novak Djokovic holds off Holger Rune in his first U.S. Open match.,"Djokovic, who is chasing the Grand Slam, dropped the second set, but his night got easier when the teenager Rune began suffering from cramps in his legs.","Novak Djokovic, the No. 1-ranked men’s tennis player, began his bid for the final leg of the Grand Slam with a 6-1, 6-7 (5), 6-2, 6-1 victory over Holger Rune in the first round of the U.S. Open on Tuesday night.",Sports,https://www.nytimes.com/2021/08/31/sports/tennis/novak-djokovic-wins-match.html
2021-09-01,"Quotation of the Day: Spurning Critics, Biden Calls Exit Notable Success","Quotation of the Day for Wednesday, September 1, 2021.",“I was not going to extend this forever war.”,Today’s Paper,https://www.nytimes.com/2021/08/31/todayspaper/quotation-of-the-day-spurning-critics-biden-calls-exit-notable-success.html
2021-09-01,Member of ISIS ‘Beatles’ Cell Plans to Plead Guilty in Abuse of Hostages,An upcoming change-of-plea hearing for Alexanda Kotey suggests he is cooperating with prosecutors and could provide details about victims.,"WASHINGTON — A notorious British member of the Islamic State who is facing federal charges over accusations that he helped jail and tortured Western hostages is preparing to plead guilty, according to a court notice filed late Tuesday.",U.S.,https://www.nytimes.com/2021/08/31/us/politics/isis-beatles-alexanda-kotey.html
2021-09-01,U.S.A. Gymnastics and Abuse Survivors Propose a $425 Million Payout,A $215 million settlement offer was rejected last year by victims of Lawrence G. Nassar and by others in the sport.,"U.S.A. Gymnastics and a court-appointed committee representing sexual abuse victims of Lawrence G. Nassar, the former national team doctor, filed a joint plan on Tuesday that would allow the federation to emerge from bankruptcy and would include a $425 million settlement with those in the sport who were victims of abuse.",Sports,https://www.nytimes.com/2021/09/01/sports/olympics/usa-gymnastics-payout-sexual-abuse.html
2021-09-01,2021 U.S. Open: What to Watch on Wednesday,Sloane Stephens and Coco Gauff will meet on the third day of action at Flushing Meadows.,How to watch: From noon to 6 p.m. Eastern time on ESPN; 7 to 11 p.m. on ESPN2; and streaming on the ESPN app. In Canada on TSN from 11 a.m. to 11 p.m.; and streaming on TSN.ca and the TSN app.,Sports,https://www.nytimes.com/2021/09/01/sports/tennis/us-open-matches-wednesday.html
2021-09-01,Your Wednesday Briefing,President Biden’s comments on the Afghanistan withdrawal.,"Speaking from the White House a day after the final U.S. military plane left Kabul, President Biden vehemently defended the decision to end the war in Afghanistan.",Briefing,https://www.nytimes.com/2021/09/01/briefing/afghanistan-coronavirus-vaccinations.html
2021-09-01,"Europe, Afghanistan Is Your Wake-Up Call","To strengthen the alliance with America, Europe must step up.","The Taliban’s takeover in Afghanistan is, first and foremost, a tragedy for Afghans. The world’s attention is rightly focused on trying to help those desperately trying to flee the country and worrying about those left behind, notably women and girls.",Opinion,https://www.nytimes.com/2021/09/01/opinion/afghanistan-europe-nato.html
2021-09-01,"Supreme Court, Breaking Silence, Won’t Block Texas Abortion Law","The law, which prohibits most abortions after six weeks and went into effect on Wednesday, was drafted by Texas lawmakers with the goal of frustrating efforts to challenge it in federal court.","The Supreme Court refused just before midnight on Wednesday to block a Texas law prohibiting most abortions, less than a day after it took effect and became the most restrictive abortion measure in the nation.",U.S.,https://www.nytimes.com/2021/09/01/us/supreme-court-texas-abortion.html
